Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
16555,FYivsiGY6GVoyHBC5aZSNEC2c3aqY2ERbbYKHCZCAdu5,1,1,2,0.01,2,0.1169%
16556,FZCUsAgFwqNbXihTLZBUapotj9DfWRCwGU6sWCf5DXUo,1,1,4,0.01,4,0.2338%
16557,FZLZ3oRF9U1Xb8sK887GwVhg5PVL7Mjr9Z8t5sjRxTg7,1,1,2,0.01,2,0.1169%
16558,FZTXyM2oGAPeo2ve6bCY9mStXHAY7py33gjiKhx3jRE2,1,1,4,0.01,4,0.2338%
16559,FaQw48XT77vokSkWHKckuu9iZoJrTkzekghZDsfdxbe9,1,1,2,0.01,2,0.1169%
16560,FaUjur5pndQomQeQYmiMRFdtD6GUQ8Rfv5hUJ17c53Xw,1,1,2,0.01,2,0.1169%
16561,FaX6JKRwAWtockzV9gVt3gbUi2smyZgFRrtJdeHR7cMd,1,1,2,0.01,2,0.1169%
16562,FamAk9KnoxpECLcfXDc7mustWw4TbpK89XNQsc8JxjW6,1,1,2,0.01,2,0.1169%
16563,FatrB1XCeNpCsf7peoPV41JUeuECS1rTGEEQETYGpo77,1,1,1,0.01,1,0.0584%
16564,Faz23yqrenu7nxTQ339EXVzQhJTao3RHsNYmvroaKXVE,1,1,2,0.01,2,0.1169%
16565,FbDP4pDXS3FjoX6T4btat3iP43cybWzQW31RnQ73qoA2,1,1,2,0.01,2,0.1169%
16566,FbwHZWnpxw78AGmkA9muNzG1M6eqvjF4U89UQ597zBUH,1,1,2,0.01,2,0.1169%
16567,FcjKER5nZLcidw1FiWtdgJ8DCc8ekSqQUxJCWdFbQcQS,1,1,2,0.01,2,0.1169%
16568,Fcky1M7nGnjECNG8i5JsmvHmM1axexDSeAz7VNp6gRUr,1,1,2,0.01,2,0.1169%
16569,FdsyBVa4BD2e3Gj43YwN4iaDieFL5ZYr7gm9pSnFbHLm,1,1,2,0.01,2,0.1169%
16570,FdvSfiAnz54syTtco8r1R5hizoKuFmVmzwKAwQ6wPR8a,1,1,2,0.01,2,0.1169%
16571,Fe485EDyDiZZPTB2R75pP8kveExuucvAAtrzKNVYDkGm,1,1,2,0.01,2,0.1169%
16572,FfWoBE3htEUecwUMVyHzHvy9sj6Pqkt6F4Q8QNEy1Pv6,1,1,2,0.01,2,0.1169%
16573,FfugfPZVbAm1LWimSLe9BLyRJaNhfbuDirAaB9catYsZ,1,1,2,0.01,2,0.1169%
16574,FgamUG1nLddsQS3AxkxDQJhDY1NC8Xbw5X9Z5xK4NWTs,1,1,2,0.01,2,0.1169%
16575,FhQcUTiS5YJPZfVKgQiBYtStGfRfPmWF9X5WVXf9vt78,1,1,2,0.01,2,0.1169%
16576,FhXNn77u74U9yscHVu3YZqQYPcfKT3Q8bScoeeAdmPbb,1,1,2,0.01,2,0.1169%
16577,FhXZ1GgkQBtH1NioMU52zuBPWoEkbpXFc3V4XzM5CbKY,1,1,2,0.01,2,0.1169%
16578,Fhiu2mnBrGDHGAQ9Un4gxe6UnkajH67aRQfuyzQGR2iy,1,1,2,0.01,2,0.1169%
16579,FhmYpQarwhEDZwRT1gqrgUKQYWKx4zrJAwE6mirHAXuV,1,1,2,0.01,2,0.1169%
